Series,Model,Season_Label,Year,Forecast
Safflower,RidgePoly2,2022-23,2022,5822.0
Safflower,RidgePoly2,2023-24,2023,6120.3
Safflower,RidgePoly2,2024-25,2024,6429.8
Safflower,CAGR,2022-23,2022,6035.4
Safflower,CAGR,2023-24,2023,6434.5
Safflower,CAGR,2024-25,2024,6860.0
Safflower,Holt,2022-23,2022,5776.2
Safflower,Holt,2023-24,2023,6111.5
Safflower,Holt,2024-25,2024,6446.7
Safflower,"ARIMA(1,1,0)",2022-23,2022,5525.5
Safflower,"ARIMA(1,1,0)",2023-24,2023,5588.2
Safflower,"ARIMA(1,1,0)",2024-25,2024,5634.6
Safflower,RandomForest,2022-23,2022,5394.9
Safflower,RandomForest,2023-24,2023,5394.9
Safflower,RandomForest,2024-25,2024,5394.9
Safflower,GradBoost,2022-23,2022,5441.0
Safflower,GradBoost,2023-24,2023,5441.0
Safflower,GradBoost,2024-25,2024,5441.0
